,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Olafsvik,IS,64.8945,-23.7142,40.1,77,93,12.39,overcast clouds
1,Port Alfred,ZA,-33.5906,26.891,60.46,83,22,12.64,few clouds
2,Toma,BF,12.7667,-2.8833,83.34,41,85,7.96,overcast clouds
3,Rikitea,PF,-23.1203,-134.9692,73.74,79,39,19.06,light rain
4,Kapaa,US,22.0752,-159.319,82.72,69,20,4.0,few clouds
5,Atuona,PF,-9.8,-139.0333,78.03,79,68,18.66,light rain
6,Busselton,AU,-33.65,115.3333,51.1,63,33,4.29,scattered clouds
7,Lagoa,PT,39.05,-27.9833,72.01,84,85,10.02,overcast clouds
8,Albany,US,42.6001,-73.9662,60.39,95,100,0.67,overcast clouds
9,Vaini,TO,-21.2,-175.2,80.76,78,40,9.22,scattered clouds
10,Soe,ID,-9.8607,124.284,78.15,49,36,3.09,scattered clouds
11,Constitucion,CL,-35.3333,-72.4167,53.04,76,79,12.03,broken clouds
12,Norman Wells,CA,65.282,-126.8329,33.44,85,30,6.91,scattered clouds
13,Uglegorsk,RU,49.0833,142.0333,45.32,67,87,5.3,overcast clouds
14,Aklavik,CA,68.2191,-135.0107,30.85,77,10,10.18,clear sky
15,Mareeba,AU,-17.0,145.4333,82.49,66,21,7.56,few clouds
16,Puerto Ayora,EC,-0.7393,-90.3518,69.55,90,67,5.99,broken clouds
17,Borohradek,CZ,50.0978,16.0933,65.48,89,100,1.99,light rain
18,Dubti,ET,11.7361,41.0853,88.81,39,98,7.36,light rain
19,Bluff,NZ,-46.6,168.3333,65.8,79,100,5.12,overcast clouds
20,Jamestown,US,42.097,-79.2353,66.09,93,90,1.99,overcast clouds
21,Yellowknife,CA,62.456,-114.3525,41.41,100,75,4.0,mist
22,Irara,BR,-12.05,-38.7667,69.78,84,69,10.18,broken clouds
23,Casablanca,MA,33.5928,-7.6192,69.33,68,91,13.0,overcast clouds
24,Dikson,RU,73.5069,80.5464,36.1,96,99,16.67,overcast clouds
25,Hobart,AU,-42.8794,147.3294,60.06,51,20,3.0,few clouds
26,Chuy,UY,-33.6971,-53.4616,52.86,79,0,7.38,clear sky
27,East London,ZA,-33.0153,27.9116,59.23,85,24,7.18,few clouds
28,General Roca,AR,-39.0333,-67.5833,52.2,46,94,17.2,overcast clouds
29,Ribeira Grande,PT,38.5167,-28.7,72.59,90,100,14.12,overcast clouds
30,Staunton,US,38.1496,-79.0717,71.56,65,75,3.44,broken clouds
31,Severo-Kurilsk,RU,50.6789,156.125,44.85,67,57,21.34,broken clouds
32,Kashary,RU,49.04,41.0056,41.22,50,19,12.28,few clouds
33,Qaanaaq,GL,77.484,-69.3632,26.55,84,100,5.95,overcast clouds
34,Mataura,NZ,-46.1927,168.8643,65.48,57,99,5.77,overcast clouds
35,Khatanga,RU,71.9667,102.5,30.09,98,100,6.35,light snow
36,San Andres,CO,12.5847,-81.7006,84.22,84,40,9.22,scattered clouds
37,Te Anau,NZ,-45.4167,167.7167,58.82,70,99,3.58,light rain
38,Torbay,CA,47.6666,-52.7314,47.57,81,100,1.99,overcast clouds
39,Denizli,TR,37.8402,29.0698,56.25,59,0,3.6,clear sky
40,Porto Nacional,BR,-10.7081,-48.4172,82.4,43,73,4.0,broken clouds
41,Moses Lake,US,47.1301,-119.2781,68.68,34,1,9.22,clear sky
42,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,73.13,99,100,2.24,overcast clouds
43,Leningradskiy,RU,69.3833,178.4167,30.42,98,100,8.52,light snow
44,Hermanus,ZA,-34.4187,19.2345,57.9,92,10,10.65,clear sky
45,Price,US,39.5994,-110.8107,58.71,87,90,3.44,overcast clouds
46,Ushuaia,AR,-54.8,-68.3,40.66,60,0,9.22,clear sky
47,Ust-Kuyga,RU,70.0167,135.6,26.15,78,100,12.01,overcast clouds
48,Dunedin,NZ,-45.8742,170.5036,52.95,95,100,15.46,overcast clouds
49,Bam,IR,29.106,58.357,74.97,21,38,2.42,scattered clouds
50,Souillac,MU,-20.5167,57.5167,70.36,80,26,5.41,light rain
51,Avarua,CK,-21.2078,-159.775,78.85,69,26,20.71,scattered clouds
52,Batagay-Alyta,RU,67.8006,130.4114,25.41,62,100,7.18,overcast clouds
53,Sur,OM,22.5667,59.5289,82.2,70,0,8.16,clear sky
54,Kungalv,SE,57.871,11.9805,53.11,98,100,5.99,overcast clouds
55,Qaqortoq,GL,60.7167,-46.0333,41.5,68,4,8.95,clear sky
56,North Platte,US,41.1239,-100.7654,73.99,38,1,3.0,clear sky
57,Vao,NC,-22.6667,167.4833,72.16,84,19,2.51,moderate rain
58,Aswan,EG,24.0934,32.907,73.78,35,0,9.01,clear sky
59,Hithadhoo,MV,-0.6,73.0833,83.07,75,87,15.5,light rain
60,Tuktoyaktuk,CA,69.4541,-133.0374,30.13,85,91,16.96,overcast clouds
61,Nampula,MZ,-15.1165,39.2666,67.66,93,5,3.4,clear sky
62,Lebu,CL,-37.6167,-73.65,47.95,65,0,21.07,clear sky
63,Punta Arenas,CL,-53.15,-70.9167,41.11,65,0,8.05,clear sky
64,Plainview,US,40.7765,-73.4673,64.74,76,90,4.61,overcast clouds
65,Salalah,OM,17.0151,54.0924,80.69,89,75,5.75,broken clouds
66,Padang,ID,-0.9492,100.3543,78.28,83,99,2.55,overcast clouds
67,Kudahuvadhoo,MV,2.6708,72.8944,83.61,73,87,16.73,overcast clouds
68,Muriwai Beach,NZ,-36.8167,174.45,67.96,76,99,6.69,overcast clouds
69,College,US,64.8569,-147.8028,40.59,81,40,3.44,scattered clouds
70,Tonota,BW,-21.4833,27.4833,61.48,82,5,10.63,clear sky
71,Vardo,NO,70.3705,31.1107,49.82,83,97,27.04,overcast clouds
72,Maningrida,AU,-12.0667,134.2667,87.21,57,87,6.38,overcast clouds
73,Pala,TD,9.3642,14.9046,73.06,86,51,4.45,broken clouds
74,Bako,ET,5.7833,36.5667,65.23,79,84,4.99,broken clouds
75,Quzhou,CN,28.9594,118.8686,73.04,75,0,6.55,clear sky
76,Green River,US,41.5286,-109.4662,69.19,29,100,5.01,overcast clouds
77,Nikolskoye,RU,59.7035,30.7861,47.88,78,89,11.18,overcast clouds
78,Butaritari,KI,3.0707,172.7902,81.95,69,18,13.33,few clouds
79,Miri,MY,4.4148,114.0089,77.88,88,98,6.26,overcast clouds
80,High Level,CA,58.5169,-117.136,39.22,58,100,3.58,overcast clouds
81,Borger,NL,52.9233,6.7931,52.81,90,64,16.08,broken clouds
82,Nantucket,US,41.2835,-70.0995,60.15,92,100,18.23,overcast clouds
83,Riyadh,SA,24.6877,46.7219,77.14,32,39,3.49,scattered clouds
84,Acajutla,SV,13.5928,-89.8275,81.81,78,26,3.31,scattered clouds
85,Bredasdorp,ZA,-34.5322,20.0403,57.27,96,11,7.7,few clouds
86,Nishihara,JP,26.1842,127.7558,82.06,83,75,10.36,broken clouds
87,Vyazemskiy,RU,47.5378,134.7525,45.57,52,0,9.84,clear sky
88,Bagdarin,RU,54.4333,113.6,30.79,62,74,1.45,broken clouds
89,Anshun,CN,26.25,105.9333,64.0,91,6,3.29,clear sky
90,Ati,TD,13.2154,18.3353,85.57,19,62,8.75,broken clouds
91,Boa Vista,BR,2.8197,-60.6733,83.12,59,85,5.91,overcast clouds
92,Fond Du Lac,US,43.775,-88.4388,66.27,83,1,7.25,clear sky
93,Kaitangata,NZ,-46.2817,169.8464,57.94,77,100,14.56,overcast clouds
94,Palora,EC,-1.7,-77.9333,67.77,91,69,1.54,broken clouds
95,Saint-Joseph,RE,-21.3667,55.6167,68.38,82,11,3.85,few clouds
96,Cape Town,ZA,-33.9258,18.4232,61.27,62,0,3.0,clear sky
97,Izhma,RU,65.0083,53.9113,37.92,95,12,7.49,few clouds
98,Rio Grande,BR,-32.035,-52.0986,56.19,60,0,11.59,clear sky
99,Cherskiy,RU,68.75,161.3,15.75,94,99,4.76,overcast clouds
100,Saint-Philippe,RE,-21.3585,55.7679,69.39,82,15,5.86,few clouds
101,Juntas,CR,10.2809,-84.9595,76.87,90,91,4.32,overcast clouds
102,Jizan,SA,17.3333,42.6667,86.43,69,99,2.84,overcast clouds
103,Upernavik,GL,72.7868,-56.1549,29.97,52,100,5.21,overcast clouds
104,Greytown,ZA,-29.0642,30.5928,53.96,97,98,2.77,overcast clouds
105,Vila Franca Do Campo,PT,37.7167,-25.4333,75.2,91,95,7.05,overcast clouds
106,Bakreswar,IN,23.8833,87.3667,78.12,83,51,2.73,broken clouds
107,Thompson,CA,55.7435,-97.8558,49.89,32,100,8.93,overcast clouds
108,Carnarvon,AU,-24.8667,113.6333,63.41,61,31,23.44,scattered clouds
109,Cayenne,GF,4.9333,-52.3333,83.08,80,20,1.99,few clouds
110,Itarema,BR,-2.9248,-39.9167,79.18,80,72,16.53,broken clouds
111,Yulara,AU,-25.2406,130.9889,87.28,19,68,22.97,broken clouds
112,Bethel,US,41.3712,-73.414,61.99,88,90,4.61,overcast clouds
113,Lubango,AO,-14.9172,13.4925,63.73,30,87,5.08,overcast clouds
114,Daud Khel,PK,32.875,71.5701,83.97,54,0,1.74,clear sky
115,Bilma,NE,18.6853,12.9164,82.24,16,2,7.83,clear sky
116,Korla,CN,41.7597,86.1469,51.26,49,34,4.94,scattered clouds
117,Rio Gallegos,AR,-51.6226,-69.2181,43.97,51,5,13.53,clear sky
118,Axim,GH,4.8699,-2.2405,76.68,90,100,4.79,light rain
119,Sisimiut,GL,66.9395,-53.6735,36.52,68,100,9.98,overcast clouds
120,Plettenberg Bay,ZA,-34.0527,23.3716,56.14,83,1,3.67,clear sky
121,Saskylakh,RU,71.9167,114.0833,21.74,97,100,2.64,overcast clouds
122,Huron,US,41.1501,-82.5499,67.86,91,37,10.96,scattered clouds
123,Shimoda,JP,34.6667,138.95,79.11,69,78,5.66,broken clouds
124,Talnakh,RU,69.4865,88.3972,34.57,100,100,3.98,light rain
125,Husavik,IS,66.0449,-17.3389,34.61,81,100,5.06,overcast clouds
126,Tiksi,RU,71.6872,128.8694,27.57,94,100,4.43,light snow
127,Georgetown,MY,5.4112,100.3354,78.73,91,20,5.75,few clouds
128,Tasiilaq,GL,65.6145,-37.6368,33.96,75,14,7.63,few clouds
129,Madang,PG,-5.2246,145.7966,80.83,86,97,4.94,light rain
130,Yaan,NG,7.3833,8.5667,73.71,95,99,8.46,light rain
131,Arraial Do Cabo,BR,-22.9661,-42.0278,70.18,90,100,16.13,overcast clouds
132,Hilo,US,19.7297,-155.09,82.13,72,20,11.5,few clouds
133,Ossora,RU,59.2353,163.0719,37.35,69,100,13.69,overcast clouds
134,Dali,CN,25.7,100.1833,61.16,93,65,2.04,broken clouds
135,Cuenca,EC,-2.8833,-78.9833,60.93,82,75,6.91,light rain
136,Bogorodskoye,RU,56.55,37.8833,37.58,87,13,7.36,few clouds
137,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.5,92,100,13.76,overcast clouds
138,Tubuala,PA,9.5167,-79.0333,81.34,84,99,6.55,overcast clouds
139,Zyryanka,RU,65.75,150.85,26.33,51,56,9.53,broken clouds
140,Lasa,IT,46.6166,10.7002,52.02,98,100,2.13,overcast clouds
141,Beringovskiy,RU,63.05,179.3167,33.96,84,100,18.68,overcast clouds
142,Kavaratti,IN,10.5669,72.642,81.82,80,99,15.21,light rain
143,Leeton,AU,-34.5667,146.4,69.89,41,0,7.4,clear sky
144,Chokurdakh,RU,70.6333,147.9167,23.18,90,100,11.81,overcast clouds
145,Esperance,AU,-33.8667,121.9,54.84,59,98,8.05,overcast clouds
146,Mar Del Plata,AR,-38.0023,-57.5575,64.42,55,0,13.8,light rain
147,Alice Springs,AU,-23.7,133.8833,85.55,12,0,18.41,clear sky
148,Iskateley,RU,67.6803,53.1512,41.4,90,0,18.3,clear sky
149,Ostrovnoy,RU,68.0531,39.5131,48.61,85,99,28.61,overcast clouds
150,Calbuco,CL,-41.768,-73.1273,45.61,71,1,18.23,clear sky
151,Novobirilyussy,RU,56.9514,90.6661,26.19,90,7,4.79,clear sky
152,Raudeberg,NO,61.9875,5.1352,52.2,81,100,3.0,overcast clouds
153,El Tarra,CO,8.5756,-73.0949,76.57,98,99,2.17,moderate rain
154,Shuangyang,CN,43.5242,125.6736,53.15,65,100,6.11,overcast clouds
155,Mehamn,NO,71.0357,27.8492,48.67,80,63,18.19,light rain
156,Pauini,BR,-7.7136,-66.9764,74.73,92,100,3.13,overcast clouds
157,Ahipara,NZ,-35.1667,173.1667,66.92,72,100,8.46,overcast clouds
158,La Paz,BO,-16.5,-68.15,48.18,81,75,5.75,broken clouds
159,Ixtapa,MX,20.7,-105.2,85.23,66,75,0.0,broken clouds
160,Bundaberg,AU,-24.85,152.35,76.95,26,0,7.65,clear sky
161,Road Town,VG,18.4167,-64.6167,83.19,74,63,22.59,broken clouds
162,Sheridan,US,44.8333,-106.9173,80.98,14,1,3.0,clear sky
163,Egvekinot,RU,66.3167,-179.1667,30.42,91,100,11.56,overcast clouds
164,Tabou,CI,4.423,-7.3528,77.2,89,12,7.43,few clouds
165,San Luis,AR,-33.295,-66.3356,64.9,24,0,9.51,clear sky
166,Bagotville,AU,-28.9833,153.4167,71.64,35,0,5.01,clear sky
167,Umm Lajj,SA,25.0213,37.2685,79.27,64,0,11.1,clear sky
168,Iquitos,PE,-3.7481,-73.2472,78.84,83,75,6.91,light rain
169,Suntar,RU,62.1444,117.6319,32.34,91,89,6.4,light snow
170,Skelleftea,SE,64.7507,20.9528,51.01,67,90,1.01,overcast clouds
171,Nouakchott,MR,18.0858,-15.9785,82.33,63,33,14.27,scattered clouds
172,Deputatskiy,RU,69.3,139.9,21.63,77,100,11.03,overcast clouds
173,Banda Aceh,ID,5.5577,95.3222,79.75,81,98,9.04,overcast clouds
174,San Patricio,US,28.017,-97.5169,84.06,40,0,6.62,clear sky
175,Kurilsk,RU,45.2333,147.8833,48.96,54,17,6.49,few clouds
176,Tokomaru,NZ,-40.4667,175.5,64.85,78,98,2.08,overcast clouds
177,New Norfolk,AU,-42.7826,147.0587,59.72,46,83,3.0,broken clouds
178,Ilulissat,GL,69.2167,-51.1,23.94,65,95,9.66,overcast clouds
179,Coolum Beach,AU,-26.5333,153.1,79.34,30,0,7.94,clear sky
180,Port Macquarie,AU,-31.4333,152.9167,72.37,33,0,5.39,clear sky
181,Ahuimanu,US,21.4447,-157.8378,89.31,60,40,12.66,scattered clouds
182,Bambanglipuro,ID,-7.95,110.2833,77.09,79,100,10.2,overcast clouds
183,Chaves,US,33.3834,-104.4505,84.61,20,1,8.05,clear sky
184,Fortuna,US,40.5982,-124.1573,64.42,68,90,1.99,overcast clouds
185,Castro,BR,-24.7911,-50.0119,57.61,95,92,8.57,overcast clouds
186,Portland,US,45.5234,-122.6762,57.24,92,90,1.99,light rain
187,Jiuquan,CN,39.7432,98.5174,46.17,63,2,6.24,clear sky
188,Kikwit,CD,-5.041,18.8162,69.12,98,92,1.83,overcast clouds
189,Nome,US,64.5011,-165.4064,44.67,93,90,14.97,mist
190,Paris,FR,48.8534,2.3488,53.11,87,75,3.0,broken clouds
191,Hidrolandia,BR,-4.4081,-40.4378,84.49,50,96,8.57,overcast clouds
192,Kupang,ID,-10.1667,123.5833,82.53,64,55,5.3,broken clouds
193,Sioux Lookout,CA,50.1001,-91.917,61.29,67,45,5.84,scattered clouds
194,Atbasar,KZ,51.8,68.3333,23.95,91,67,6.51,broken clouds
195,Poya,NC,-21.35,165.15,83.43,55,1,7.45,clear sky
196,Natitingou,BJ,10.3042,1.3796,75.2,77,59,3.38,broken clouds
197,Rawson,AR,-43.3002,-65.1023,45.75,56,76,21.52,broken clouds
198,Namibe,AO,-15.1961,12.1522,62.17,73,54,6.31,broken clouds
199,Faanui,PF,-16.4833,-151.75,79.14,65,18,13.31,few clouds
200,Pemangkat,ID,1.1667,108.9667,79.84,84,100,8.75,overcast clouds
201,Bonavista,CA,48.6499,-53.1147,47.12,75,100,22.17,overcast clouds
202,Upata,VE,8.0086,-62.3989,79.2,79,17,5.01,few clouds
203,Dawson Creek,CA,55.7666,-120.2362,33.44,93,90,10.36,snow
204,Sile,TR,41.1754,29.6133,62.56,59,94,5.01,overcast clouds
205,Coahuayana,MX,18.7333,-103.6833,83.68,83,95,2.55,overcast clouds
206,Wyndham,US,37.6985,-77.6125,74.05,87,90,4.61,overcast clouds
207,San Cristobal,VE,7.7669,-72.225,78.98,97,86,2.89,overcast clouds
208,Racine,US,42.7495,-88.0751,65.05,89,51,3.0,broken clouds
209,Acarau,BR,-2.8856,-40.12,79.3,80,50,17.56,scattered clouds
210,Urucara,BR,-2.5364,-57.76,80.47,54,100,3.11,overcast clouds
211,Bloomington,US,44.8408,-93.2983,71.92,65,1,1.99,clear sky
212,El Chol,GT,14.9642,-90.4806,76.1,93,45,3.2,scattered clouds
213,Muros,ES,42.7762,-9.0603,62.83,95,11,4.9,few clouds
214,Alvdal,NO,62.1077,10.6307,48.04,99,100,3.33,overcast clouds
215,Frontera,MX,26.9333,-101.45,79.95,49,16,13.6,few clouds
216,Katsuura,JP,35.1333,140.3,75.31,69,80,1.14,broken clouds
217,Fairbanks,US,64.8378,-147.7164,40.6,81,40,3.44,moderate rain
218,Fenyi,CN,27.8112,114.6681,76.19,72,0,4.76,clear sky
219,Richards Bay,ZA,-28.783,32.0377,65.73,91,100,3.53,light rain
220,Gat,IL,31.61,34.7642,70.48,71,0,2.8,clear sky
221,Faya,SA,18.3851,42.4509,64.92,27,100,4.34,overcast clouds
222,Madingou,CG,-4.1536,13.55,77.22,76,88,2.55,overcast clouds
223,Jelenia Gora,PL,50.8997,15.729,59.61,96,100,2.95,moderate rain
224,Olinda,BR,-8.0089,-34.8553,77.34,79,63,10.6,broken clouds
225,Codrington,AU,-38.2667,141.9667,59.07,59,37,14.52,light rain
226,Ibra,OM,22.6906,58.5334,78.46,67,2,3.09,clear sky
227,Longyearbyen,SJ,78.2186,15.6401,37.24,75,75,13.8,broken clouds
228,Geraldton,AU,-28.7667,114.6,55.81,62,52,14.97,broken clouds
229,Kruisfontein,ZA,-34.0033,24.7314,53.89,93,0,4.14,clear sky
230,Balkanabat,TM,39.5108,54.3671,59.59,32,22,17.2,few clouds
231,Labrea,BR,-7.2586,-64.7981,74.17,98,94,3.44,overcast clouds
232,Anloga,GH,5.7947,0.8973,79.84,81,96,9.73,overcast clouds
233,Black River,JM,18.0264,-77.8487,80.98,78,100,4.99,overcast clouds
234,Saint-Pierre,RE,-21.3393,55.4781,69.48,80,90,3.44,overcast clouds
235,Birin,NP,26.8865,88.0718,59.04,89,4,3.94,clear sky
236,Sishui,CN,35.6489,117.2758,62.17,80,100,7.52,overcast clouds
237,Uray,RU,60.1247,64.7758,33.85,93,99,5.93,overcast clouds
238,Ulagan,RU,50.6321,87.9563,27.32,71,61,3.96,broken clouds
239,Kavieng,PG,-2.5744,150.7967,79.97,85,100,13.13,moderate rain
240,Caravelas,BR,-17.7125,-39.2481,74.61,86,47,6.4,scattered clouds
241,Barrow,US,71.2906,-156.7887,23.02,86,90,10.36,fog
242,Clyde River,CA,70.4692,-68.5914,33.75,96,100,3.8,overcast clouds
243,Gravdal,NO,68.1214,13.5031,49.64,80,83,19.8,light rain
